temperature,batteryscore,breakscore,ignscore,,,
50,6,2,10,,,
49,6,2,10,,,
48,6,2,10,,,
47,6,2,10,,,
46,6,2,10,,,
45,6,2,10,,,
44,6,2,10,,,
43,6,2,10,,,
42,6,2,10,,,
41,6,2,10,,,
40,6,2,10,,,
39,6,2,10,,,
38,6,2,10,,,
37,6,2,10,,,
36,6,2,10,,,
35,8,2,10,,,
34,8,2,10,,,
33,8,2,10,,,
32,8,2,10,,,
31,8,2,10,,,
30,8,10,10,,,
29,8,10,10,,,
28,8,10,10,,,
27,8,10,10,,,
26,8,10,10,,,
25,10,10,10,,,
24,10,10,10,,,
23,10,10,10,,,
22,10,10,10,,,
21,10,10,10,,,
20,8,10,10,,,
19,8,10,10,,,
18,8,10,10,,,
17,8,10,10,,,
16,8,10,10,,,
15,8,10,10,,,
14,8,10,10,,,
13,8,10,10,,,
12,8,10,10,,,
11,8,10,10,,,
10,6,7,7,,,
9,6,7,7,,,
8,6,7,7,,,
7,6,7,7,,,
6,6,7,7,,,
5,6,7,7,,,
4,6,7,7,,,
3,6,7,7,,,
2,6,7,7,,,
1,6,7,7,,,
0,5,7,7,,,
-1,5,7,7,,,
-2,5,7,7,,,
-3,5,7,7,,,
-4,5,7,7,,,
-5,4,4,1,,,
-6,4,4,1,,,
-7,4,4,1,,,
-8,4,4,1,,,
-9,4,4,1,,,
-10,3,4,1,,,
-11,3,4,1,,,
-12,3,4,1,,,
-13,3,4,1,,,
-14,3,4,1,,,
-15,3,4,1,,,
-16,3,4,1,,,
-17,3,4,1,,,
-18,3,4,1,,,
-19,3,4,1,,,
-20,1,4,1,,,
-21,1,4,1,,,
-22,1,4,1,,,
-23,1,4,1,,,
-24,1,4,1,,,
-25,1,4,1,,,
-26,1,4,1,,,
-27,1,4,1,,,
-28,1,4,1,,,
-29,1,4,1,,,
-30,1,4,1,,,
-31,1,4,1,,,
-32,1,4,1,,,
-33,1,4,1,,,
-34,1,4,1,,,
-35,1,4,1,,,
-36,1,4,1,,,
-37,1,4,1,,,
-38,1,4,1,,,
-39,1,4,1,,,
-40,1,4,1,,,
-41,1,4,1,,,
-42,1,4,1,,,
-43,1,4,1,,,
-44,1,4,1,,,
-45,1,4,1,,,
-46,1,4,1,,,
-47,1,4,1,,,
-48,1,4,1,,,
-49,1,4,1,,,
-50,1,4,1,,,
